Company,Job Role,Skills Needed
McKinsey,Cybersecurity Analyst,"UX Research, SQL, Cybersecurity, Docker, Angular"
Zoom,Full Stack Developer,"R, System Design, CSS, HTML, Docker"
Honeywell,Quantitative Analyst,"AWS, Kubernetes, Financial Modeling, SQL, Azure, Docker"
Bosch,Supply Chain Analyst,"Python, Java, Node.js, Cybersecurity, System Design"
Swiggy,Growth Hacker,"Linux, SEO, React, Tableau, CI/CD, Excel, Web3, Digital Marketing, Agile"
Morgan Stanley,QA Automation Engineer,"Linux, Angular, Azure, SQL, Docker, SEO"
SAP,Quantitative Analyst,"Machine Learning, SEO, Microservices, CSS, Power BI, React, AWS, Web3"
Honeywell,Cloud Solutions Architect,"Azure, Scrum, Power BI, UX Research, Figma, Testing, C++, UI Design"
Zomato,Database Administrator,"SQL, Node.js, R, Machine Learning, NLP, Digital Marketing, Linux, Power BI"
Siemens,Blockchain Developer,"HTML, Python, CSS, Cybersecurity, Angular, C++, Project Management, UX Research, System Design"
Intel,Blockchain Developer,"Excel, Java, React, R, CI/CD"
NVIDIA,Product Manager,"AWS, Digital Marketing, NLP, System Design, SEM"
Tesla,Data Scientist,"Excel, Digital Marketing, Microservices, Scrum, AWS, Ethical Hacking"
Razorpay,Database Administrator,"Web3, Docker, Ethical Hacking, Agile, C++, Java, React, Azure"
NVIDIA,Supply Chain Analyst,"Kubernetes, Azure, Power BI, Data Visualization, GCP, Agile, Network Security, Excel, SEO"
Honeywell,UI/UX Designer,"React, Automation, Python, Ethical Hacking, Cybersecurity, NLP, Solidity, Project Management, Data Visualization, Deep Learning"
Stripe,Growth Hacker,"Agile, Automation, Network Security, CI/CD, Testing, Power BI, Microservices, Scrum, SEM"
Bain & Company,Risk Analyst,"Scrum, Solidity, CI/CD, AWS, NLP, Deep Learning, SQL, Automation, Risk Analysis, UI Design"
KPMG,Operations Manager,"Financial Modeling, CSS, Java, Ethical Hacking, Testing, Kubernetes, Web3, Excel"
ByteDance,Data Scientist,"Project Management, Solidity, C++, Microservices, Cybersecurity, R, Angular, Network Security, UX Research, Kubernetes"
McKinsey,Digital Marketing Manager,"SQL, Project Management, UI Design, Agile, Linux, SEM, Web3, System Design, Network Security"
NVIDIA,Full Stack Developer,"Blockchain, Docker, NLP, Project Management, Scrum, Financial Modeling, Cybersecurity"
Cisco,UI/UX Designer,"Digital Marketing, Web3, HTML, CSS, Agile, Python, Blockchain, Kubernetes, SEM"
Databricks,Quantitative Analyst,"SQL, Network Security, Digital Marketing, Project Management, Solidity, Financial Modeling, C++, Angular"
PayPal,Game Developer,"Ethical Hacking, Figma, Data Visualization, Network Security, Web3, GCP, CSS"
PwC,Supply Chain Analyst,"Deep Learning, Machine Learning, CI/CD, C++, Risk Analysis, Excel, AWS, Scrum, Python, Data Visualization"
NVIDIA,Cloud Solutions Architect,"Project Management, HTML, Tableau, Angular, Digital Marketing, Data Visualization, Web3, UI Design, React, Java"
Adobe,Data Scientist,"Financial Modeling, Project Management, React, Selenium, Node.js, Azure, Agile, HTML"
Zoom,Data Scientist,"Automation, Angular, SQL, Selenium, Data Visualization, SEO, Blockchain, GCP, HTML, SEM"
Cisco,Database Administrator,"Python, Angular, Scrum, Microservices, Deep Learning, Linux, Node.js, Kubernetes, SQL, R"
ByteDance,Blockchain Developer,"Deep Learning, HTML, Microservices, System Design, GCP, CSS, Project Management"
3M,Systems Analyst,"UI Design, Solidity, C++, UX Research, Azure, Power BI, Python, Financial Modeling"
NVIDIA,Technical Program Manager,"Figma, Risk Analysis, Angular, GCP, Testing, React, Node.js, Tableau, HTML, Digital Marketing"
McKinsey,Site Reliability Engineer,"Selenium, CSS, Web3, Java, Python"
ServiceNow,Digital Marketing Manager,"Kubernetes, Financial Modeling, Python, Deep Learning, Figma, Data Visualization"
Airbnb,AI Research Scientist,"System Design, Microservices, CSS, Tableau, Web3"
ByteDance,Technical Program Manager,"Ethical Hacking, R, HTML, SQL, Blockchain"
HSBC,Database Administrator,"Digital Marketing, Microservices, Figma, Selenium, Web3, Machine Learning, Java, UX Research, NLP"
Uber,Site Reliability Engineer,"Project Management, Tableau, Cybersecurity, Python, Ethical Hacking"
Bosch,Technical Program Manager,"CI/CD, React, Microservices, Machine Learning, Angular, Azure"
Honeywell,Risk Analyst,"Linux, Deep Learning, AWS, Ethical Hacking, Solidity, Automation, Figma"
3M,Machine Learning Engineer,"Angular, GCP, Project Management, C++, SEO, UX Research, CSS, Deep Learning"
Twilio,Robotics Engineer,"UX Research, Scrum, HTML, Machine Learning, Testing, Digital Marketing"
Qualcomm,Risk Analyst,"HTML, Python, Web3, Project Management, Node.js, SEO, Digital Marketing, NLP"
Tesla,Operations Manager,"Node.js, React, R, SQL, Angular, Deep Learning"
Uber,Mobile App Developer,"Web3, AWS, Blockchain, NLP, Linux, Java"
Snowflake,AR/VR Developer,"CSS, Cybersecurity, Testing, R, Risk Analysis, Selenium, Azure"
BlackRock,AR/VR Developer,"Angular, Machine Learning, System Design, Node.js, Docker"
ASML,Systems Analyst,"Digital Marketing, Data Visualization, Angular, Automation, HTML, React"
JP Morgan Chase,Database Administrator,"Scrum, Selenium, Power BI, SEO, Network Security, Excel, NLP, Java, Automation, Ethical Hacking"
Flipkart,AR/VR Developer,"System Design, Angular, UX Research, Digital Marketing, Blockchain, Figma, C++"
Barclays,Game Developer,"Docker, Solidity, GCP, AWS, Machine Learning"
BlackRock,UI/UX Designer,"Automation, Blockchain, SQL, Figma, SEM, Power BI, HTML, Financial Modeling, CI/CD, System Design"
SAP,AI Research Scientist,"Linux, Web3, Ethical Hacking, CI/CD, SEM, UX Research, System Design, Scrum"
Barclays,HR Analytics Specialist,"Microservices, UX Research, Scrum, Risk Analysis, Kubernetes, Data Visualization, NLP, React"
Palantir,Database Administrator,"Scrum, Excel, SEM, SQL, Microservices, Power BI, Angular, NLP, Digital Marketing, Docker"
VMware,Customer Success Manager,"Agile, Cybersecurity, System Design, UI Design, GCP, SEO, Python, Network Security, Microservices"
Salesforce,QA Automation Engineer,"Selenium, Linux, AWS, Blockchain, Java, Testing, Tableau, Machine Learning, SQL, Python"
ServiceNow,Product Manager,"Deep Learning, Machine Learning, Figma, Scrum, Digital Marketing, Cybersecurity, UX Research, System Design"
AMD,QA Automation Engineer,"Java, Node.js, Python, Deep Learning, Power BI, CI/CD"
Tesla,Supply Chain Analyst,"Azure, Java, Selenium, CSS, Data Visualization, Project Management, Web3"
Shopify,Full Stack Developer,"Project Management, Data Visualization, Selenium, Web3, NLP, Kubernetes, Azure, SEM, AWS"
Tesla,Machine Learning Engineer,"HTML, Java, Automation, Financial Modeling, NLP, Selenium, Python, Angular"
HSBC,AR/VR Developer,"Ethical Hacking, Power BI, SEO, Selenium, System Design, Excel, Tableau, Blockchain, Cybersecurity, R"
VMware,Financial Analyst,"Risk Analysis, UX Research, Azure, Network Security, UI Design"
BCG,Customer Success Manager,"Agile, R, CSS, Cybersecurity, Ethical Hacking"
Adobe,Machine Learning Engineer,"Project Management, Cybersecurity, NLP, UI Design, CI/CD, System Design"
SpaceX,Product Manager,"NLP, Testing, Machine Learning, Java, Risk Analysis, Power BI, Cybersecurity, Data Visualization"
HSBC,Growth Hacker,"Angular, Ethical Hacking, System Design, R, Agile, CSS, Microservices, SEM, Linux, Tableau"
Uber,DevOps Engineer,"Linux, CSS, Node.js, NLP, SEM, Kubernetes, Risk Analysis"
AMD,Quantitative Analyst,"Financial Modeling, Python, R, Docker, Excel"
Swiggy,Embedded Systems Engineer,"Network Security, Power BI, CI/CD, Selenium, Agile, Project Management"
NVIDIA,Technical Program Manager,"Project Management, R, SEM, UX Research, Blockchain"
Oracle,Machine Learning Engineer,"Cybersecurity, Testing, Risk Analysis, Blockchain, React, Project Management, Scrum, Linux, Tableau, SQL"
SAP,Digital Marketing Manager,"Automation, React, UI Design, CI/CD, Node.js, Financial Modeling, Angular, Scrum, Network Security"
SpaceX,DevOps Engineer,"Financial Modeling, SEO, Linux, Machine Learning, Testing, Solidity, Python, Kubernetes, Figma"
Samsung Electronics,Digital Marketing Manager,"Python, CI/CD, Angular, Automation, SEO, Cybersecurity"
Samsung Electronics,Systems Analyst,"Java, SQL, Microservices, Selenium, Excel"
Uber,HR Analytics Specialist,"Data Visualization, R, NLP, Angular, Deep Learning, C++, Cybersecurity, System Design"
Airbnb,Network Engineer,"Web3, System Design, AWS, NLP, Testing, Agile, Risk Analysis, SEM, Scrum"
Bosch,Digital Marketing Manager,"Angular, Java, Project Management, Agile, Deep Learning, Testing, SEO, CSS, Network Security, Solidity"
Workday,Technical Program Manager,"React, Tableau, Digital Marketing, CSS, AWS, CI/CD"
ServiceNow,UI/UX Designer,"Digital Marketing, Selenium, UI Design, Figma, CSS, R, Power BI, Java, Network Security, Agile"
ByteDance,Supply Chain Analyst,"GCP, Node.js, Machine Learning, Tableau, Automation, SQL, Testing, Ethical Hacking, Power BI, Project Management"
JP Morgan Chase,Business Intelligence Analyst,"SQL, Node.js, Scrum, UX Research, Solidity, Java"
SpaceX,Cybersecurity Analyst,"Tableau, Ethical Hacking, Excel, HTML, R, Digital Marketing"
HSBC,Robotics Engineer,"Solidity, Testing, Java, Data Visualization, Excel"
Swiggy,Technical Program Manager,"Figma, GCP, SQL, Automation, Financial Modeling"
LG Electronics,Risk Analyst,"Selenium, CI/CD, Figma, System Design, Python, C++, Cybersecurity, Linux, Microservices"
Airbnb,Full Stack Developer,"UX Research, Network Security, NLP, Financial Modeling, Machine Learning, Power BI"
Stripe,Network Engineer,"SEM, Financial Modeling, Agile, Scrum, R, Digital Marketing, Automation, Angular"
Flipkart,AR/VR Developer,"Python, SEO, SEM, Testing, Linux, Tableau, UI Design"
AMD,Database Administrator,"Financial Modeling, Linux, Solidity, Cybersecurity, Project Management, Selenium, Tableau, Testing, SEO, Node.js"
HSBC,Risk Analyst,"HTML, Machine Learning, Docker, Cybersecurity, Microservices, Blockchain, Node.js"
NVIDIA,Cloud Solutions Architect,"Machine Learning, Blockchain, Deep Learning, HTML, Data Visualization"
Workday,Blockchain Developer,"AWS, Digital Marketing, R, Ethical Hacking, Node.js, Agile"
AMD,Site Reliability Engineer,"Automation, Cybersecurity, SQL, NLP, Blockchain, Figma, Network Security, Node.js"
Qualcomm,Customer Success Manager,"React, Testing, Python, C++, CI/CD, Data Visualization"
ByteDance,Database Administrator,"Figma, CSS, Scrum, SQL, Python, Solidity, Data Visualization, Testing, Azure, Cybersecurity"
3M,Site Reliability Engineer,"Figma, Web3, Financial Modeling, Risk Analysis, HTML, SQL, Agile, Node.js"
Oracle,Data Scientist,"Microservices, Python, Linux, C++, Azure, Network Security, Power BI, UI Design, Ethical Hacking, Tableau"
HSBC,Blockchain Developer,"UI Design, Agile, React, Data Visualization, NLP, Blockchain, Web3, SEM"
Databricks,Blockchain Developer,"CI/CD, Java, Project Management, Solidity, AWS, Figma, Kubernetes"
ByteDance,Systems Analyst,"Kubernetes, Selenium, Risk Analysis, HTML, R, System Design"
Databricks,UI/UX Designer,"Web3, Tableau, Digital Marketing, Python, Microservices, Testing, Blockchain, Kubernetes, UI Design, Node.js"
Flipkart,Supply Chain Analyst,"Risk Analysis, AWS, System Design, Node.js, Linux, Kubernetes, C++, Microservices"
Palantir,Risk Analyst,"Cybersecurity, Tableau, Linux, R, C++, CSS, Figma"
Siemens,Business Intelligence Analyst,"System Design, AWS, CSS, CI/CD, Blockchain, Docker, Linux, Azure, Python, UI Design"
JP Morgan Chase,Data Scientist,"Testing, Project Management, SEM, Ethical Hacking, Solidity, Linux, Kubernetes, Scrum"
Intel,Game Developer,"UI Design, Power BI, Financial Modeling, Python, HTML, R"
Morgan Stanley,Product Manager,"Power BI, Selenium, SQL, Risk Analysis, Project Management"
PwC,HR Analytics Specialist,"Java, Python, Figma, Project Management, Node.js, Machine Learning, Financial Modeling, Selenium, Digital Marketing, SQL"
Swiggy,Game Developer,"SQL, Solidity, Blockchain, GCP, Docker, Machine Learning, SEM, Ethical Hacking, Java, Python"
BlackRock,Mobile App Developer,"Web3, Ethical Hacking, Azure, React, CSS, Tableau, Cybersecurity, Excel"
Barclays,Business Intelligence Analyst,"Automation, Solidity, UX Research, System Design, Linux"
PayPal,Product Manager,"Kubernetes, GCP, Python, Digital Marketing, Ethical Hacking"
Tesla,Growth Hacker,"Selenium, Kubernetes, Network Security, Data Visualization, Solidity, R, SEM"
EY,Operations Manager,"Power BI, UI Design, Testing, GCP, AWS, Docker, Figma, Financial Modeling"
Goldman Sachs,Blockchain Developer,"Data Visualization, HTML, Azure, Automation, UI Design, Scrum, SEO"
Cisco,Network Engineer,"Tableau, Solidity, Network Security, AWS, Machine Learning"
PayPal,Growth Hacker,"GCP, Power BI, SQL, Figma, Network Security, Digital Marketing, HTML, AWS, Tableau"
Bain & Company,HR Analytics Specialist,"CI/CD, Linux, Machine Learning, Financial Modeling, Deep Learning, Automation"
Databricks,Embedded Systems Engineer,"Figma, Selenium, NLP, Digital Marketing, Risk Analysis"
BlackRock,Network Engineer,"C++, Azure, Solidity, Linux, SQL"
BCG,Growth Hacker,"SEO, Automation, Digital Marketing, Azure, Ethical Hacking, Web3, SQL, NLP, HTML, Python"
NVIDIA,Digital Marketing Manager,"Blockchain, Machine Learning, Linux, System Design, NLP, Azure, Risk Analysis"
Razorpay,Systems Analyst,"Financial Modeling, Machine Learning, Network Security, Solidity, UI Design, SEM, Azure, Docker"
Samsung Electronics,Site Reliability Engineer,"Ethical Hacking, Azure, Docker, CI/CD, Automation, Deep Learning, Blockchain, Node.js, React"
Snowflake,Business Intelligence Analyst,"R, HTML, Project Management, Agile, Testing"
Morgan Stanley,Mobile App Developer,"NLP, AWS, CSS, Solidity, Machine Learning, Kubernetes, Microservices, Ethical Hacking, Blockchain, Web3"
Tesla,Cloud Solutions Architect,"Testing, System Design, UX Research, SEM, Node.js, NLP, Ethical Hacking, Excel, Java, Financial Modeling"
Twilio,HR Analytics Specialist,"Web3, Selenium, Microservices, Cybersecurity, SEO"
Cisco,Embedded Systems Engineer,"Financial Modeling, React, Digital Marketing, SEM, SQL"
Goldman Sachs,Technical Program Manager,"Solidity, AWS, C++, System Design, Network Security, Web3, R"
McKinsey,Product Manager,"Figma, Ethical Hacking, Network Security, R, Java, System Design, Tableau, Deep Learning, CSS, Testing"
Workday,Business Intelligence Analyst,"Figma, Testing, UX Research, Excel, Python, Network Security, Node.js"
Shopify,Machine Learning Engineer,"Microservices, Scrum, Selenium, Digital Marketing, Excel, Azure, Figma, Agile"
NVIDIA,UI/UX Designer,"C++, Data Visualization, Java, R, CI/CD, GCP, Machine Learning, Digital Marketing, Power BI"
SAP,Digital Marketing Manager,"UI Design, Node.js, Network Security, Automation, Azure"
Twilio,Business Intelligence Analyst,"GCP, Blockchain, Data Visualization, Testing, Node.js, Deep Learning, Web3, Agile"
Qualcomm,Digital Marketing Manager,"System Design, Angular, React, GCP, Digital Marketing, Agile, SEM, Selenium"
Snowflake,Business Intelligence Analyst,"React, Docker, Selenium, Automation, CSS, Blockchain, System Design"
Bosch,Game Developer,"React, UI Design, UX Research, SEM, Solidity, Network Security, Automation, Excel, GCP"
Siemens,Robotics Engineer,"Machine Learning, Tableau, GCP, Azure, Docker"
ServiceNow,Business Intelligence Analyst,"Testing, Power BI, Scrum, Cybersecurity, R, Network Security, Docker, Angular, System Design"
Tesla,Digital Marketing Manager,"System Design, Testing, Cybersecurity, Machine Learning, Python"
Flipkart,Robotics Engineer,"CI/CD, Node.js, Ethical Hacking, Blockchain, C++"
Morgan Stanley,UI/UX Designer,"Linux, Deep Learning, UX Research, Node.js, GCP, Network Security, Cybersecurity, Azure, AWS"
Intel,Machine Learning Engineer,"Angular, React, GCP, Solidity, Ethical Hacking, Automation, SEO, Financial Modeling"
Morgan Stanley,Quantitative Analyst,"Network Security, Scrum, Linux, Risk Analysis, Testing, Python, Node.js"
PwC,Operations Manager,"Angular, Azure, CI/CD, Microservices, System Design, Selenium, Ethical Hacking, Web3, CSS, Docker"
SAP,Machine Learning Engineer,"Solidity, Selenium, Automation, Blockchain, Angular"
Barclays,Game Developer,"UX Research, Machine Learning, Selenium, Testing, C++, R, Scrum, Risk Analysis"
AMD,Supply Chain Analyst,"Figma, Automation, Azure, UX Research, Project Management, Testing, Solidity, Kubernetes, Deep Learning"
Bain & Company,AR/VR Developer,"Cybersecurity, Java, CI/CD, Microservices, System Design, Digital Marketing, Blockchain, AWS, Figma"
ByteDance,Data Scientist,"Data Visualization, Ethical Hacking, Deep Learning, C++, React, Digital Marketing, Project Management, Financial Modeling, GCP, CSS"
Swiggy,Technical Program Manager,"Java, Project Management, CSS, C++, SEM, CI/CD, Cybersecurity, Azure"
Flipkart,Operations Manager,"Azure, SEO, Solidity, Tableau, Web3, R"
Swiggy,Business Intelligence Analyst,"Automation, Scrum, CI/CD, React, Agile, UX Research, R, Risk Analysis"
Shopify,Cybersecurity Analyst,"SQL, Data Visualization, Digital Marketing, UI Design, SEO, Node.js, Python, Project Management, Figma, Power BI"
Airbnb,Blockchain Developer,"Agile, Microservices, SQL, GCP, Python, SEM, Ethical Hacking, NLP, Linux, Deep Learning"
ByteDance,DevOps Engineer,"HTML, AWS, Testing, Power BI, Figma, SQL, Scrum"
VMware,Game Developer,"SEO, Excel, Blockchain, Testing, Figma, Kubernetes, Cybersecurity, Agile, R"
Qualcomm,Quantitative Analyst,"Kubernetes, UI Design, Docker, SQL, Power BI, Scrum, Java, SEM, AWS"
Twilio,Business Intelligence Analyst,"SEM, Tableau, Scrum, AWS, R, Ethical Hacking, Java, CSS, Power BI"
Bosch,Supply Chain Analyst,"GCP, AWS, SEM, Web3, CI/CD, Solidity, CSS, SEO, Docker"
Bosch,Financial Analyst,"Azure, NLP, SEM, R, Cybersecurity, Testing"
Morgan Stanley,Data Scientist,"CI/CD, SQL, Kubernetes, Project Management, SEO, UX Research, Angular, UI Design, Automation, Machine Learning"
Palantir,HR Analytics Specialist,"SEM, Java, CI/CD, NLP, Agile, Web3, Selenium, SQL, GCP, Linux"
Siemens,Business Intelligence Analyst,"UI Design, AWS, Microservices, Selenium, Kubernetes, Solidity, Scrum, Figma, Ethical Hacking, SEM"
BCG,Data Scientist,"Digital Marketing, Selenium, Linux, Excel, Financial Modeling, Tableau"
Adobe,Data Scientist,"Digital Marketing, C++, NLP, Scrum, Power BI, HTML, CSS, Python, Agile"
ServiceNow,Customer Success Manager,"SQL, Testing, Digital Marketing, Ethical Hacking, Microservices, Cybersecurity, Data Visualization, Web3, Linux"
Goldman Sachs,Mobile App Developer,"System Design, Figma, UX Research, Linux, Selenium, Tableau"
Barclays,Network Engineer,"Figma, Kubernetes, Docker, Project Management, React, Linux, Microservices, Testing"
Databricks,Quantitative Analyst,"Linux, NLP, React, Selenium, Scrum, Power BI, Network Security"
Uber,Business Intelligence Analyst,"Digital Marketing, Azure, Docker, React, Blockchain, CI/CD"
Barclays,HR Analytics Specialist,"Deep Learning, UX Research, Docker, Cybersecurity, R, React, Data Visualization"
ByteDance,QA Automation Engineer,"UI Design, Ethical Hacking, NLP, Excel, Machine Learning, Digital Marketing, Risk Analysis, UX Research, Network Security"
Uber,Blockchain Developer,"Java, Testing, Risk Analysis, Scrum, Azure, R, Microservices, Tableau"
NVIDIA,Mobile App Developer,"AWS, C++, NLP, Solidity, Blockchain"
Zoom,Data Scientist,"React, CI/CD, Excel, Python, HTML, UX Research, Digital Marketing, Agile, Azure, SEM"
VMware,UI/UX Designer,"Python, CI/CD, System Design, CSS, Financial Modeling, C++, Ethical Hacking, Power BI"
Samsung Electronics,Robotics Engineer,"Project Management, Azure, Power BI, System Design, Microservices, NLP, UI Design, CI/CD"
PayPal,Machine Learning Engineer,"SQL, Deep Learning, Java, Web3, Figma, Angular, Network Security, Power BI, Solidity, Selenium"
BCG,Systems Analyst,"System Design, Cybersecurity, NLP, Node.js, Digital Marketing"
Adobe,Blockchain Developer,"NLP, Solidity, Ethical Hacking, Blockchain, SQL, C++"
ByteDance,Operations Manager,"CSS, SQL, Network Security, SEO, Ethical Hacking, Kubernetes, Web3"
Razorpay,Risk Analyst,"Excel, Linux, HTML, Web3, Solidity, Docker, Agile, Figma"
Tesla,Financial Analyst,"GCP, Angular, Project Management, Testing, NLP, Figma, Selenium"
Tesla,Systems Analyst,"Node.js, SEM, Ethical Hacking, Automation, Tableau"
AMD,DevOps Engineer,"Testing, Machine Learning, Digital Marketing, UI Design, C++, Excel, SEM, Microservices, Docker"
Razorpay,Financial Analyst,"Node.js, Digital Marketing, Linux, Deep Learning, Financial Modeling"
Uber,AI Research Scientist,"Angular, Selenium, Python, Cybersecurity, SEO"
BlackRock,Game Developer,"Network Security, SEO, Data Visualization, CSS, Agile"
Palantir,Full Stack Developer,"GCP, Docker, Azure, Power BI, Solidity, CI/CD, Python, React"
ServiceNow,Cloud Solutions Architect,"Solidity, SQL, C++, Excel, Network Security, NLP, System Design, Machine Learning"
Stripe,Site Reliability Engineer,"SEO, Cybersecurity, Power BI, Microservices, Node.js, React, Financial Modeling"
Databricks,Machine Learning Engineer,"UI Design, AWS, Solidity, Automation, Risk Analysis, Power BI, Blockchain, R"
Honeywell,QA Automation Engineer,"React, Docker, CSS, UX Research, UI Design, Figma, Testing, Automation, Network Security"
Uber,Systems Analyst,"Blockchain, Excel, Python, CI/CD, Digital Marketing"
Workday,Full Stack Developer,"Docker, GCP, HTML, Kubernetes, Automation, Power BI, Scrum, Solidity, UX Research"
Tesla,Embedded Systems Engineer,"System Design, Solidity, Cybersecurity, Linux, Web3, SQL, React"
KPMG,Operations Manager,"Excel, Power BI, Linux, CI/CD, Financial Modeling, Digital Marketing, Blockchain, Automation"
AMD,AR/VR Developer,"Microservices, NLP, Agile, SEO, HTML, Scrum, C++"
Zoom,AI Research Scientist,"Automation, Data Visualization, AWS, NLP, Digital Marketing, HTML, Node.js, Scrum, Kubernetes, Python"
Zoom,AI Research Scientist,"UI Design, Power BI, Ethical Hacking, Cybersecurity, Tableau, Risk Analysis, GCP, Azure"
Atlassian,Blockchain Developer,"Kubernetes, R, NLP, Java, Testing"
Morgan Stanley,Machine Learning Engineer,"Python, System Design, Kubernetes, Power BI, GCP, SEM, Scrum"
Qualcomm,Site Reliability Engineer,"Solidity, Agile, AWS, Node.js, Python, Figma, System Design"
BlackRock,Supply Chain Analyst,"Data Visualization, SQL, Ethical Hacking, Deep Learning, Scrum, SEO, Network Security, Cybersecurity, Testing, C++"
Salesforce,Mobile App Developer,"Angular, Risk Analysis, Node.js, GCP, Java"
Uber,QA Automation Engineer,"Angular, Data Visualization, Microservices, Blockchain, Excel, GCP"
Bosch,DevOps Engineer,"Docker, Azure, Financial Modeling, Node.js, SEO"
Airbnb,Technical Program Manager,"Network Security, SQL, Blockchain, Project Management, Tableau, Agile, UI Design, CSS, Web3"
Uber,Digital Marketing Manager,"SEO, UI Design, Microservices, Node.js, Agile"
KPMG,Risk Analyst,"R, HTML, Node.js, CSS, Linux"
Swiggy,DevOps Engineer,"Risk Analysis, Cybersecurity, HTML, Financial Modeling, Linux, Ethical Hacking, Docker, Network Security"
Palantir,AI Research Scientist,"CSS, Web3, Tableau, Project Management, Node.js"
VMware,Business Intelligence Analyst,"Financial Modeling, CI/CD, UI Design, Scrum, Project Management, Kubernetes"
3M,Product Manager,"React, GCP, Python, CSS, Risk Analysis, Agile, SEM, Project Management, Solidity"
Qualcomm,QA Automation Engineer,"SEO, Python, Testing, Automation, Angular, Azure, R, Linux, Scrum, Blockchain"
Razorpay,Product Manager,"Java, Kubernetes, R, Machine Learning, Angular, Excel, Figma, C++"
Bain & Company,Machine Learning Engineer,"Angular, Network Security, SEO, SEM, NLP, Figma"
Bosch,Growth Hacker,"Machine Learning, Ethical Hacking, AWS, Risk Analysis, Digital Marketing, System Design, Blockchain, SEO"
PwC,Network Engineer,"Financial Modeling, Kubernetes, CI/CD, Selenium, CSS, HTML, Network Security, Digital Marketing"
Honeywell,Machine Learning Engineer,"Kubernetes, Network Security, Machine Learning, Solidity, Node.js, Financial Modeling, Agile, Digital Marketing, AWS, Excel"
ASML,Mobile App Developer,"Linux, Risk Analysis, Angular, Power BI, Java, SEO, Excel, Ethical Hacking, Solidity, Cybersecurity"
Uber,Mobile App Developer,"Risk Analysis, Financial Modeling, R, Java, Solidity, UX Research, Ethical Hacking"
BlackRock,Systems Analyst,"SEM, Python, Power BI, Solidity, Blockchain, SQL, Web3, React, Excel"
NVIDIA,Full Stack Developer,"Testing, Automation, R, Kubernetes, Tableau, Scrum, Azure, React"
Snowflake,Robotics Engineer,"UI Design, Automation, Scrum, Blockchain, Kubernetes, Node.js, Power BI"
VMware,Blockchain Developer,"Scrum, Solidity, Microservices, Excel, Azure, React, Selenium, Agile, System Design"
BlackRock,Cybersecurity Analyst,"Python, Selenium, Testing, Power BI, Kubernetes, HTML, AWS"
SpaceX,Cloud Solutions Architect,"Solidity, System Design, Deep Learning, Cybersecurity, React, Web3, SEM, NLP, R, GCP"
Samsung Electronics,HR Analytics Specialist,"Blockchain, Docker, Agile, Project Management, Solidity"
SAP,Systems Analyst,"UX Research, Web3, Figma, Project Management, Azure, Microservices"
ASML,Systems Analyst,"Deep Learning, Ethical Hacking, Node.js, GCP, Agile"
Honeywell,Machine Learning Engineer,"GCP, Scrum, Financial Modeling, UI Design, C++, Figma"
Cisco,Site Reliability Engineer,"System Design, SEM, Machine Learning, Tableau, CSS, Solidity"
SpaceX,Network Engineer,"Kubernetes, Automation, Power BI, Cybersecurity, UX Research, Solidity, Deep Learning, Node.js, Network Security"
3M,DevOps Engineer,"Ethical Hacking, Linux, GCP, NLP, System Design, R, Agile, Tableau, HTML"
Workday,Risk Analyst,"AWS, Microservices, Docker, SEO, Agile, Data Visualization, React, Figma, UX Research"
Zomato,UI/UX Designer,"Agile, Network Security, Web3, NLP, HTML"
ByteDance,QA Automation Engineer,"R, Cybersecurity, Deep Learning, Python, Kubernetes"
AMD,Quantitative Analyst,"Selenium, Excel, Kubernetes, Python, SEM, SEO"
Atlassian,Financial Analyst,"Kubernetes, Tableau, Scrum, R, SEM, Java, NLP"
SAP,QA Automation Engineer,"Financial Modeling, Tableau, Node.js, Network Security, Cybersecurity, Web3, Project Management"
AMD,Data Scientist,"Docker, Blockchain, UI Design, Python, Agile, Tableau"
ByteDance,Product Manager,"Python, SEO, Data Visualization, Node.js, React, Deep Learning"
Qualcomm,Digital Marketing Manager,"CI/CD, Linux, Financial Modeling, SEO, Risk Analysis, Digital Marketing, Blockchain, React, R, Kubernetes"
HSBC,Site Reliability Engineer,"Power BI, UI Design, React, Solidity, C++, Testing, Angular, Risk Analysis, Java"
BlackRock,Financial Analyst,"CSS, Scrum, Solidity, Ethical Hacking, Web3, Cybersecurity"
Zomato,Blockchain Developer,"SQL, Financial Modeling, Python, System Design, Cybersecurity, SEO, Data Visualization, AWS, GCP, Ethical Hacking"
Tesla,Technical Program Manager,"Financial Modeling, AWS, C++, Microservices, Kubernetes, UI Design, Excel"
SAP,Cybersecurity Analyst,"Azure, Tableau, SEO, Kubernetes, Excel, Data Visualization, SEM, AWS"
BCG,Blockchain Developer,"Selenium, Blockchain, CI/CD, Scrum, SEM, Web3"
Goldman Sachs,Systems Analyst,"R, UI Design, Java, NLP, HTML, Linux, CI/CD, UX Research, SEO, Web3"
Swiggy,Customer Success Manager,"Tableau, Java, SEO, System Design, Solidity, SQL, Deep Learning, React, Selenium"
Samsung Electronics,Network Engineer,"Docker, Cybersecurity, CSS, Excel, Blockchain, System Design, Node.js, Solidity, Automation"
Snowflake,Operations Manager,"Scrum, Azure, SQL, Excel, Risk Analysis, C++, HTML, Project Management, Ethical Hacking"
ASML,AR/VR Developer,"Deep Learning, Docker, Ethical Hacking, Figma, System Design, Java, Data Visualization, Agile, SEO"
